,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
204,2021-02-11,Madhya Pradesh,Rewa,4126,4077,35,22690.0,2365106
205,2021-02-11,Madhya Pradesh,Sagar,5457,5253,150,64801.0,2378458
206,2021-02-11,Madhya Pradesh,Satna,3480,3435,42,28159.0,2228935
207,2021-02-11,Madhya Pradesh,Sehore,2808,2749,48,45061.0,1311332
208,2021-02-11,Madhya Pradesh,Seoni,1589,1574,10,15024.0,1379131
209,2021-02-11,Madhya Pradesh,Shahdol,2988,2929,30,18177.0,1066063
210,2021-02-11,Madhya Pradesh,Shajapur,1798,1766,22,56805.0,1512681
211,2021-02-11,Madhya Pradesh,Sheopur,1503,1467,15,31449.0,687861
212,2021-02-11,Madhya Pradesh,Shivpuri,3647,3612,30,47270.0,1726050
213,2021-02-11,Madhya Pradesh,Sidhi,2030,1994,13,4660.0,1127033
214,2021-02-11,Madhya Pradesh,Tikamgarh,1312,1278,27,43011.0,1445166
215,2021-02-11,Madhya Pradesh,Ujjain,4984,4836,104,31631.0,1986864
216,2021-02-11,Madhya Pradesh,Umaria,1316,1290,18,54811.0,644758
217,2021-02-11,Madhya Pradesh,Vidisha,3604,3525,71,65935.0,1458875
218,2021-02-11,Nagaland,Dimapur,6476,6328,59,47020.0,378811
219,2021-02-11,Nagaland,Kiphire,41,40,1,1002.0,74004
220,2021-02-11,Nagaland,Kohima,3859,3722,21,33986.0,267988
221,2021-02-11,Nagaland,Longleng,19,10,0,1193.0,50484
222,2021-02-11,Nagaland,Mokokchung,192,183,3,3976.0,194622
223,2021-02-11,Nagaland,Mon,605,594,2,12278.0,250260
224,2021-02-11,Nagaland,Peren,507,504,0,5717.0,95219
225,2021-02-11,Nagaland,Phek,47,47,0,2779.0,163418
226,2021-02-11,Nagaland,Tuensang,248,246,1,4887.0,196596
227,2021-02-11,Nagaland,Wokha,39,35,1,1390.0,166343
228,2021-02-11,Nagaland,Zunheboto,142,139,0,2131.0,140757
229,2021-02-11,Odisha,Balangir,8798,8742,41,87867.0,1648997
230,2021-02-11,Odisha,Bhadrak,7485,7442,29,258173.0,1506337
231,2021-02-11,Odisha,Cuttack,29110,28889,146,5720.0,2624470
232,2021-02-11,Odisha,Dhenkanal,5711,5679,29,179477.0,1192811
233,2021-02-11,Odisha,Gajapati,4072,4033,33,715.0,577817
234,2021-02-11,Odisha,Ganjam,21888,21626,256,750442.0,3529031
235,2021-02-11,Odisha,Jharsuguda,7814,7757,26,1663.0,579505
236,2021-02-11,Odisha,Kalahandi,6377,6330,32,1458.0,1576869
237,2021-02-11,Odisha,Kandhamal,5947,5911,33,1516.0,733110
238,2021-02-11,Odisha,Kendrapara,9145,9113,29,382732.0,1440361
239,2021-02-11,Odisha,Kendujhar,8014,7957,37,474504.0,1801733
240,2021-02-11,Odisha,Koraput,7884,7865,16,1401.0,1379647
241,2021-02-11,Odisha,Malkangiri,5240,5212,28,1841.0,613192
242,2021-02-11,Odisha,Mayurbhanj,14132,14001,92,3307.0,2519738
243,2021-02-11,Odisha,Nabarangapur,5826,5810,16,162154.0,1220946
